datetime,stock_code,open,high,low,close,volume,open_interest
2024-09-09 12:09:00,FSNECO,217.15,219.45,213.56,217.85,10512476,
2024-09-10 12:09:00,FSNECO,218.0,219.95,214.5,215.56,6633970,
2024-09-11 12:09:00,FSNECO,215.8,216.51,210.61,211.93,4312118,
2024-09-12 12:09:00,FSNECO,211.4,212.19,206.8,207.69,5800568,
2024-09-13 12:09:00,FSNECO,208.0,212.77,205.13,206.14,8523233,
2024-09-16 12:09:00,FSNECO,206.5,209.34,201.76,205.13,8229502,
2024-09-17 12:09:00,FSNECO,205.0,205.13,198.3,199.26,11220083,
2024-09-18 12:09:00,FSNECO,200.0,206.98,198.9,199.67,8876341,
2024-09-19 12:09:00,FSNECO,200.9,204.25,194.34,201.1,9343996,
2024-09-20 12:09:00,FSNECO,201.88,207.28,197.36,199.33,10595454,
2024-09-23 12:09:00,FSNECO,201.0,202.83,199.0,202.01,6114084,
2024-09-24 12:09:00,FSNECO,202.01,202.47,195.4,196.61,7982411,
2024-09-25 12:09:00,FSNECO,198.0,199.33,195.22,198.21,5215375,
2024-09-26 12:09:00,FSNECO,199.35,203.0,197.8,201.11,5011556,
2024-09-27 12:09:00,FSNECO,201.1,205.39,199.21,200.02,8422395,
2024-09-30 12:09:00,FSNECO,199.79,199.79,195.03,195.61,4815116,
2024-10-01 12:10:00,FSNECO,196.0,197.9,195.46,197.34,3439875,
2024-10-03 12:10:00,FSNECO,195.6,196.5,193.05,194.96,3214801,
2024-10-04 12:10:00,FSNECO,194.7,195.18,190.1,192.27,5376933,
2024-10-07 12:10:00,FSNECO,193.0,195.07,188.61,194.05,7519884,
2024-10-08 12:10:00,FSNECO,196.0,196.79,188.6,193.59,11274451,
2024-10-09 12:10:00,FSNECO,193.59,200.15,191.93,198.5,11688603,
2024-10-10 12:10:00,FSNECO,197.0,198.8,191.63,192.93,9764467,
2024-10-11 12:10:00,FSNECO,193.0,194.37,190.61,192.01,3407133,
2024-10-14 12:10:00,FSNECO,193.0,194.12,191.73,192.41,3057602,
2024-10-15 12:10:00,FSNECO,193.0,195.77,185.74,188.68,8370209,
2024-10-16 12:10:00,FSNECO,188.51,189.64,184.15,185.78,4059539,
2024-10-17 12:10:00,FSNECO,186.0,187.5,180.5,186.23,9336373,
2024-10-18 12:10:00,FSNECO,186.0,186.0,181.91,184.79,4569090,
2024-10-21 12:10:00,FSNECO,185.0,186.0,179.45,181.99,5869365,
2024-10-22 12:10:00,FSNECO,181.3,181.3,177.11,178.96,8048838,
2024-10-23 12:10:00,FSNECO,177.0,184.09,176.53,179.35,5318009,
2024-10-24 12:10:00,FSNECO,177.5,179.54,176.51,177.94,6263776,
2024-10-25 12:10:00,FSNECO,177.94,179.39,172.25,177.09,4789874,
2024-10-28 12:10:00,FSNECO,177.09,181.07,173.05,178.14,7221317,
2024-10-29 12:10:00,FSNECO,178.1,180.72,174.44,179.25,5740778,
2024-10-30 12:10:00,FSNECO,178.61,182.79,177.8,181.95,3344413,
2024-10-31 12:10:00,FSNECO,180.0,182.45,178.7,181.67,1834734,
2024-11-01 12:11:00,FSNECO,182.0,184.86,182.0,184.18,358858,
2024-11-04 12:11:00,FSNECO,185.49,185.99,179.55,182.42,2201565,
2024-11-05 12:11:00,FSNECO,181.46,184.19,181.04,183.39,2396491,
2024-11-06 12:11:00,FSNECO,182.12,183.83,180.61,181.49,5391375,
2024-11-07 12:11:00,FSNECO,182.0,194.0,181.0,191.54,8620169,
2024-11-08 12:11:00,FSNECO,192.0,192.24,183.99,184.74,7382326,
2024-11-11 12:11:00,FSNECO,184.74,189.25,181.22,182.84,6066553,
2024-11-12 12:11:00,FSNECO,183.4,189.25,175.26,177.81,6011460,
2024-11-13 12:11:00,FSNECO,179.01,188.0,167.89,172.23,29113654,
2024-11-14 12:11:00,FSNECO,174.6,177.0,168.42,171.05,8232043,
2024-11-18 12:11:00,FSNECO,171.05,171.4,166.22,169.69,6549669,
2024-11-19 12:11:00,FSNECO,170.7,173.44,169.0,170.31,7449516,
2024-11-21 12:11:00,FSNECO,169.48,173.75,166.84,167.93,5106004,
2024-11-22 12:11:00,FSNECO,170.0,170.8,166.61,169.4,2406868,
2024-11-25 12:11:00,FSNECO,171.49,172.4,167.0,168.05,6962013,
2024-11-26 12:11:00,FSNECO,169.05,170.4,165.63,168.06,4593216,
2024-11-27 12:11:00,FSNECO,170.1,174.49,167.5,170.28,5671819,
2024-11-28 12:11:00,FSNECO,171.9,176.0,169.21,174.01,4252767,
2024-11-29 12:11:00,FSNECO,173.95,174.89,169.0,172.06,10832895,
2024-12-02 12:12:00,FSNECO,172.0,172.06,168.11,171.21,5005576,
2024-12-03 12:12:00,FSNECO,171.0,175.0,169.39,171.88,5168075,
2024-12-04 12:12:00,FSNECO,173.0,175.63,168.39,169.1,9670017,
2024-12-05 12:12:00,FSNECO,170.84,170.84,166.74,167.43,8876883,
2024-12-06 12:12:00,FSNECO,168.0,168.7,163.8,166.41,16485830,
2024-12-09 12:12:00,FSNECO,166.6,168.7,164.76,166.04,10861716,
2024-12-10 12:12:00,FSNECO,167.0,174.51,165.82,172.56,20739010,
2024-12-11 12:12:00,FSNECO,173.29,174.17,168.42,169.91,8323490,
2024-12-12 12:12:00,FSNECO,169.61,172.0,169.3,169.8,6572159,
2024-12-13 12:12:00,FSNECO,169.4,169.4,165.91,168.18,4662661,
2024-12-16 12:12:00,FSNECO,169.0,175.84,167.65,174.56,12135692,
2024-12-17 12:12:00,FSNECO,173.68,180.35,173.0,176.37,20685840,
2024-12-18 12:12:00,FSNECO,176.37,176.47,171.0,173.3,10890823,
2024-12-19 12:12:00,FSNECO,169.87,171.47,167.71,170.0,8084551,
2024-12-20 12:12:00,FSNECO,171.0,172.2,166.12,167.33,8797483,
2024-12-23 12:12:00,FSNECO,167.45,169.67,159.12,160.05,9232701,
2024-12-24 12:12:00,FSNECO,160.02,162.28,158.1,161.94,6967753,
2024-12-26 12:12:00,FSNECO,162.24,162.78,158.1,160.85,6793246,
2024-12-27 12:12:00,FSNECO,160.85,161.1,159.22,159.66,3125918,
2024-12-30 12:12:00,FSNECO,159.66,162.69,158.31,161.95,6752822,
2024-12-31 12:12:00,FSNECO,161.8,164.8,159.99,163.76,4959169,
2025-01-01 12:01:00,FSNECO,163.5,166.36,162.4,164.68,2668608,
2025-01-02 12:01:00,FSNECO,164.58,166.58,163.36,165.32,3318901,
2025-01-03 12:01:00,FSNECO,165.32,169.79,165.32,167.84,7031581,
2025-01-06 12:01:00,FSNECO,175.09,176.6,169.65,171.52,38545571,
2025-01-07 12:01:00,FSNECO,171.07,174.69,170.47,172.31,8688720,
2025-01-08 12:01:00,FSNECO,171.92,173.0,168.64,169.52,4520764,
2025-01-09 12:01:00,FSNECO,169.1,173.43,168.3,170.2,4982727,
2025-01-10 12:01:00,FSNECO,171.41,171.41,168.45,169.7,3475881,
2025-01-13 12:01:00,FSNECO,167.99,168.0,161.66,164.54,9025308,
2025-01-14 12:01:00,FSNECO,164.05,166.19,163.12,164.93,15903730,
2025-01-15 12:01:00,FSNECO,167.58,173.38,165.64,172.77,7801286,
2025-01-16 12:01:00,FSNECO,172.59,176.85,171.61,174.98,9010520,
2025-01-17 12:01:00,FSNECO,173.42,175.5,172.12,172.88,3549636,
2025-01-20 12:01:00,FSNECO,173.44,174.22,166.5,172.19,5955385,
2025-01-21 12:01:00,FSNECO,171.75,172.09,166.14,168.2,4526759,
2025-01-22 12:01:00,FSNECO,168.35,168.9,162.48,165.27,3319651,
2025-01-23 12:01:00,FSNECO,166.0,171.0,164.39,170.31,2858247,
2025-01-24 12:01:00,FSNECO,170.3,173.26,166.61,167.37,3192164,
2025-01-27 12:01:00,FSNECO,165.9,167.73,162.2,166.88,3403596,
2025-01-28 12:01:00,FSNECO,167.2,172.73,166.66,167.78,7808140,
2025-01-29 12:01:00,FSNECO,167.51,172.49,165.61,170.6,9475290,
2025-01-30 12:01:00,FSNECO,171.83,172.0,166.47,168.59,9877453,
2025-01-31 12:01:00,FSNECO,168.59,170.63,167.07,168.9,2793542,
2025-02-01 12:02:00,FSNECO,169.15,180.21,163.89,175.53,11721986,
2025-02-03 12:02:00,FSNECO,176.0,184.36,173.31,178.9,28860935,
2025-02-04 12:02:00,FSNECO,180.0,181.39,176.51,178.98,5643071,
2025-02-05 12:02:00,FSNECO,179.03,179.49,173.75,174.32,6478731,
2025-02-06 12:02:00,FSNECO,175.7,176.66,172.23,173.82,3490938,
2025-02-07 12:02:00,FSNECO,173.81,174.65,170.0,173.46,4365166,
2025-02-10 12:02:00,FSNECO,174.7,175.1,167.46,169.44,4455440,
2025-02-11 12:02:00,FSNECO,170.53,174.95,165.73,166.83,34787710,
2025-02-12 12:02:00,FSNECO,168.0,173.63,164.4,171.93,12557079,
2025-02-13 12:02:00,FSNECO,171.4,172.71,169.82,170.41,7505583,
2025-02-14 12:02:00,FSNECO,170.27,171.05,167.3,168.66,4082287,
2025-02-17 12:02:00,FSNECO,167.9,173.89,165.5,173.49,6940467,
2025-02-18 12:02:00,FSNECO,173.4,174.56,168.61,170.9,6232107,
2025-02-19 12:02:00,FSNECO,170.0,171.49,167.7,170.77,3347582,
2025-02-20 12:02:00,FSNECO,169.7,170.5,165.2,165.58,9461781,
2025-02-21 12:02:00,FSNECO,165.58,169.2,162.05,164.22,8936220,
2025-02-24 12:02:00,FSNECO,164.0,165.92,162.69,163.76,3848963,
2025-02-25 12:02:00,FSNECO,164.0,166.4,162.36,163.14,2966867,
2025-02-27 12:02:00,FSNECO,165.0,165.0,159.8,160.68,5230845,
2025-02-28 12:02:00,FSNECO,158.2,160.61,156.1,158.8,6540367,
2025-03-03 12:03:00,FSNECO,160.39,161.71,156.6,159.45,6543550,
2025-03-04 12:03:00,FSNECO,158.95,162.64,154.9,161.75,4545198,
2025-03-05 12:03:00,FSNECO,162.2,165.99,161.06,165.38,6022700,
2025-03-06 12:03:00,FSNECO,165.6,169.95,165.27,168.76,11573529,
2025-03-07 12:03:00,FSNECO,172.0,172.0,164.2,164.79,11633901,
2025-03-10 12:03:00,FSNECO,164.79,164.8,160.05,162.48,6733969,
2025-03-11 12:03:00,FSNECO,161.0,166.64,159.76,165.79,4438069,
2025-03-12 12:03:00,FSNECO,167.14,167.34,160.21,164.34,6312860,
2025-03-13 12:03:00,FSNECO,164.9,165.49,162.93,164.56,3985099,
2025-03-17 12:03:00,FSNECO,164.97,167.7,164.06,164.87,4928416,
2025-03-18 12:03:00,FSNECO,165.49,167.48,164.71,167.11,5125077,
2025-03-19 12:03:00,FSNECO,167.4,167.49,163.51,164.84,10513847,
2025-03-20 12:03:00,FSNECO,165.29,171.4,165.29,168.08,9732985,
2025-03-21 12:03:00,FSNECO,168.99,174.6,167.01,172.52,8417922,
2025-03-24 12:03:00,FSNECO,173.0,174.26,171.53,173.25,4443470,
2025-03-25 12:03:00,FSNECO,174.9,177.2,168.76,169.51,7674906,
2025-03-26 12:03:00,FSNECO,169.99,173.0,169.12,171.95,6813073,
2025-03-27 12:03:00,FSNECO,170.51,176.56,169.87,174.55,5821057,
2025-03-28 12:03:00,FSNECO,175.9,179.5,174.88,179.08,5347936,
2025-04-01 12:04:00,FSNECO,179.0,180.9,176.58,179.83,4814245,
